GRUPO CLASE;Semana;Grupo E1-C                       Luz y Tª ambiental (Control)                           (masa corporal media);DX;DX/7;;Grupo;Semana;Grupo E1-C                       Luz y Tª ambiental (Control)                           (masa corporal media);DX;DX/7;;Grupo;Semana;Grupo E1-C                       Luz y Tª ambiental (Control)                           (masa corporal media);DX;DX/7;;Grupo;Semana;Grupo E1-C                       Luz y Tª ambiental (Control)                           (masa corporal media);DX;DX/7;;Grupo;Semana;Grupo E1-C                       Luz y Tª ambiental (Control)                           (masa corporal media);DX;DX/7;;Grupo;Semana;Grupo E1-C                       Luz y Tª ambiental (Control)                           (masa corporal media);DX;DX/7
O1;6;0,0833;0,0186;0,0027;;O2;6;0,0862;0,0210;0,0030;;O3;6;0,0885;0,0029;0,0004;;O4;6;0,0694;0,0147;0,0021;;O5;6;0,067;0,0091;0,0013;;O6;6;0,1185;0,0061;0,0009
O1;7;0,1019;0,0156;0,0022;;O2;7;0,1073;0,0190;0,0027;;O3;7;0,0914;0,0214;0,0031;;O4;7;0,0840;0,0189;0,0027;;O5;7;0,076;0,0190;0,0027;;O6;7;0,1246;0,0103;0,0015
O1;8;0,1175;0,0105;0,0015;;O2;8;0,1263;0,0037;0,0005;;O3;8;0,1128;0,0183;0,0026;;O4;8;0,1029;0,0129;0,0018;;O5;8;0,095;0,0127;0,0018;;O6;8;0,1349;0,0099;0,0014
O1;9;0,1280;0,0127;0,0018;;O2;9;0,1300;;;;O3;9;0,1311;0,0018;0,0003;;O4;9;0,1158;0,0064;0,0009;;O5;9;0,107;0,0106;0,0015;;O6;9;0,1448;0,0097;0,0014
O1;10;0,1407;0,0175;0,0025;;O2;10;;;;;O3;10;0,1329;0,0003;0,0000;;O4;10;0,1222;0,0052;0,0007;;O5;10;0,118;0,0146;0,0021;;O6;10;0,1545;-;-
O1;11;0,1582;-0,0170;-0,0024;;O2;11;;;;;O3;11;0,1332;;;;O4;11;0,1274;;;;O5;11;0,133;-;-;;O6;11;;;
O1;12;0,1412;0,0101;0,0014;;O2;12;;0,0132;0,0019;;O3;12;;0,0082;0,0012;;O4;12;;0,0106;0,0015;;O5;12;;;;;O6;12;;0,0128;0,0018
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
